circuitRef,"total points"
albert_park,0
sepang,1
shanghai,4
bahrain,9
catalunya,9
monaco,9
istanbul,9
silverstone,9
nurburgring,9
hungaroring,19
valencia,27
spa,27
monza,27
marina_bay,37
suzuka,43
interlagos,49
yas_marina,49
