circuitRef,"total points"
albert_park,18
bahrain,33
shanghai,45
baku,70
catalunya,95
monaco,110
villeneuve,120
ricard,145
red_bull_ring,145
silverstone,163
hockenheimring,188
hungaroring,213
spa,231
monza,256
marina_bay,281
sochi,306
suzuka,331
americas,346
rodriguez,358
interlagos,383
yas_marina,408
