circuitRef,"total points"
losail,25
bahrain,50
imola,69
portimao,94
catalunya,119
monaco,126
baku,126
red_bull_ring,145
ricard,163
red_bull_ring,175
silverstone,200
hungaroring,218
spa,226
zandvoort,245
monza,245
sochi,270
istanbul,280
americas,299
rodriguez,317
interlagos,342
jeddah,368
yas_marina,386
