circuitRef,"total points"
albert_park,18
bahrain,43
shanghai,68
baku,86
catalunya,112
monaco,137
villeneuve,162
ricard,187
red_bull_ring,197
silverstone,223
hockenheimring,225
hungaroring,250
spa,268
monza,284
marina_bay,296
sochi,322
suzuka,338
rodriguez,363
americas,381
interlagos,387
yas_marina,413
