circuitRef,"total points"
albert_park,26
bahrain,44
shanghai,62
baku,87
catalunya,105
monaco,120
villeneuve,133
ricard,151
red_bull_ring,166
silverstone,184
hockenheimring,184
hungaroring,188
spa,203
monza,221
marina_bay,231
sochi,249
suzuka,274
rodriguez,289
americas,314
interlagos,314
yas_marina,326
