circuitRef,"total points"
losail,0
bahrain,16
imola,16
portimao,32
catalunya,47
monaco,47
baku,47
red_bull_ring,62
ricard,74
red_bull_ring,92
silverstone,107
hungaroring,107
spa,107
zandvoort,122
monza,137
sochi,147
istanbul,173
americas,181
rodriguez,181
interlagos,196
jeddah,211
yas_marina,219
