circuitRef,"total points"
albert_park,18
shanghai,43
bahrain,61
sochi,73
catalunya,98
monaco,104
villeneuve,129
baku,139
red_bull_ring,151
silverstone,176
hungaroring,188
spa,213
monza,238
marina_bay,263
sepang,281
suzuka,306
americas,331
rodriguez,333
interlagos,345
yas_marina,363
